179395884106956, 0.009414, -0.002334, 0.824258, 0.566131, 0.0
179395894107956, 0.012045, -0.004322, 0.825754, 0.563884, 0.0
179395904108456, 0.014641, -0.006226, 0.827235, 0.561629, 0.0
179395914108456, 0.017355, -0.00817, 0.828691, 0.559376, 0.0
179395924108456, 0.020077, -0.010064, 0.830131, 0.557115, 0.0
179395934108456, 0.02008, -0.009882, 0.833846, 0.551541, 0.0
179395944108456, 0.020092, -0.009707, 0.837505, 0.545972, 0.0
179395954108598, 0.020096, -0.00953, 0.841106, 0.540411, 0.0
179395964108723, 0.020099, -0.009355, 0.844645, 0.534867, 0.0
179395974108723, 0.020101, -0.009181, 0.848125, 0.529333, 0.0
179395984108723, 0.020102, -0.009005, 0.851533, 0.523837, 0.0
179395994108723, 0.020103, -0.008836, 0.854873, 0.518371, 0.0
179396004108806, 0.020101, -0.008667, 0.858142, 0.512944, 0.0
179396014108882, 0.020098, -0.008497, 0.861343, 0.507553, 0.0
179396024108882, 0.020095, -0.00833, 0.86446, 0.50223, 0.0
179396034175548, 0.020085, -0.008165, 0.867533, 0.496906, 0.0
179396044238048, 0.020083, -0.008007, 0.870543, 0.491617, 0.0
179396054296930, 0.020082, -0.007851, 0.873514, 0.48632, 0.0
179396064352485, 0.020076, -0.007691, 0.876441, 0.481029, 0.0
179396074405116, 0.020071, -0.007537, 0.879312, 0.475761, 0.0
179396084455116, 0.020062, -0.007382, 0.882133, 0.470514, 0.0
179396094502735, 0.019852, -0.007097, 0.8849, 0.465303, 0.0
179396104548189, 0.019648, -0.006822, 0.887614, 0.460117, 0.0
179396114591667, 0.019451, -0.006558, 0.890268, 0.454974, 0.0
179396124633375, 0.019571, -0.005279, 0.91524, 0.402398, 0.0
179396134673415, 0.019596, -0.004113, 0.935293, 0.353307, 0.0
179396144711876, 0.019551, -0.003055, 0.951311, 0.307595, 0.0
179396154748913, 0.019445, -0.002103, 0.963919, 0.265472, 0.0
179396164784627, 0.019296, -0.001259, 0.973604, 0.227421, 0.0
179396174819144, 0.019118, -4.95E-4, 0.981153, 0.192279, 0.0
179396184852510, 0.018921, 1.93E-4, 0.986949, 0.159917, 0.0
179396194885810, 0.018708, 8.13E-4, 0.991289, 0.130366, 0.0
179396204919110, 0.018488, 0.001365, 0.994458, 0.103486, 0.0
179396214952443, 0.018259, 0.001861, 0.99672, 0.078817, 0.0
179396224985776, 0.018023, 0.0023, 0.998223, 0.056736, 0.0
179396235019142, 0.017784, 0.002695, 0.999172, 0.036487, 0.0
179396245052508, 0.017549, 0.003051, 0.99968, 0.017948, 0.0
179396255085808, 0.017324, 0.003363, 0.999843, 0.001456, 0.0
179396265119108, -0.017104, -0.003642, -0.999755, 0.013536, 0.0
179396275152441, -0.016892, -0.003884, -0.999494, 0.026648, 0.0
179396285185807, -0.016682, -0.004102, -0.999102, 0.038715, 0.0
